CLIENTNUM,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_1,Naive_Bayes_Classifier_2
768805383,1.335,1144,42,1.625,0.061,0.0000934,0.99991
818770008,1.541,1291,33,3.714,0.105,0.0000569,0.99994
713982108,2.594,1887,20,2.333,0,0.0000211,0.99998
769911858,1.405,1171,20,2.333,0.76,0.00013366,0.99987
709106358,2.175,816,28,2.5,0,0.0000217,0.99998
713061558,1.376,1088,24,0.846,0.311,0.0000551,0.99994
810347208,1.975,1330,31,0.722,0.066,0.00012303,0.99988
818906208,2.204,1538,36,0.714,0.048,0.0000858,0.99991
710930508,3.355,1350,24,1.182,0.113,0.0000448,0.99996
719661558,1.524,1441,32,0.882,0.144,0.00030251,0.9997
708790833,0.831,1201,42,0.68,0.217,0.00019094,0.99981
710821833,1.433,1314,26,1.364,0.174,0.00019751,0.9998
710599683,3.397,1539,17,3.25,0,0.0000478,0.99995
816082233,1.163,1311,33,2,0.195,0.0000961,0.9999
712396908,1.19,1570,29,0.611,0.279,0.00011382,0.99989
714885258,1.707,1348,27,1.7,0.23,0.0000635,0.99994
709967358,1.708,1671,27,0.929,0.078,0.00023623,0.99976
753327333,0.653,1028,21,1.625,0.095,0.00014953,0.99985
806160108,1.831,1336,30,1.143,0.788,0.00017468,0.99983
709327383,0.966,1207,21,0.909,0.08,0.0000551,0.99994
806165208,0.906,1178,27,0.929,0.086,0.000057,0.99994
708508758,1.047,692,16,0.6,0,0.99616,0.0038363
784725333,1.608,931,18,1.571,0.152,0.0000692,0.99993
811604133,0.573,1126,23,0.353,0.626,0.00020735,0.99979
789124683,1.075,1110,21,0.75,0,0.00021042,0.99979
771071958,0.797,1051,22,0.833,0.215,0.0000572,0.99994
720466383,0.921,1197,23,1.3,0.093,0.0000503,0.99995
804424383,0.843,1904,40,1,0.099,0.00018558,0.99981
718813833,0.525,1052,18,1.571,0,0.00012144,0.99988
806624208,0.739,1045,38,0.9,0.285,0.00000766,0.99999
778348233,0.977,1038,25,2.571,0.658,0.00021834,0.99978
712991808,1.323,1596,26,1.6,0.69,0.00012458,0.99988
709029408,1.726,1589,24,1.667,0.282,0.0000578,0.99994
788658483,1.75,1411,28,1,0.562,0.00018612,0.99981
787937058,0.519,1291,24,0.714,0.135,0.0000977,0.9999
715318008,0.51,1407,43,0.483,0.544,0.0000626,0.99994
713962233,1.724,1877,37,1.176,0.757,0.00019864,0.9998
